"climate_worry","age","gender","income","right_orientation","region","happiness","life_satisfaction","year","expo","years_education"
3,59,FALSE,4,5,"Borsod-Abaúj-Zemplén",7,7,"1",-0.0750955939292908,11
3,65,FALSE,7,4,"Borsod-Abaúj-Zemplén",7,7,"1",-0.0571283340454102,16
2,53,FALSE,1,8,"Borsod-Abaúj-Zemplén",3,7,"1",-0.0750955939292908,13
4,74,TRUE,6,5,"Pest",6,4,"1",-0.0571283340454102,11
3,35,FALSE,3,10,"Pest",4,9,"1",-0.081084680557251,11
4,62,FALSE,4,3,"Pest",8,8,"1",-0.0631174206733704,13
3,20,FALSE,4,10,"Pest",10,8,"1",-0.0631174206733704,13
3,46,FALSE,9,8,"Budapest",9,7,"1",-0.0870737671852112,16
3,77,TRUE,3,9,"Budapest",8,6,"1",-0.0930628538131714,11
3,60,FALSE,8,9,"Budapest",9,8,"1",-0.081084680557251,16
2,29,FALSE,10,8,"Budapest",8,8,"1",-0.0870737671852112,16
5,81,FALSE,2,9,"Budapest",3,7,"1",-0.0990519404411316,16
5,70,TRUE,5,0,"Budapest",10,10,"1",-0.105041027069092,11
2,29,FALSE,10,0,"Budapest",10,10,"1",-0.105041027069092,16
4,50,TRUE,10,0,"Budapest",10,9,"1",-0.0990519404411316,13
4,38,FALSE,10,2,"Budapest",10,10,"1",-0.0930628538131714,13
5,42,FALSE,10,2,"Budapest",10,3,"1",-0.0691065073013306,16
4,80,FALSE,9,0,"Budapest",10,10,"1",-0.0990519404411316,16
5,77,TRUE,2,10,"Budapest",1,1,"1",-0.0451501607894897,13
4,48,TRUE,9,0,"Budapest",8,8,"1",-0.105041027069092,13
5,60,FALSE,4,10,"Budapest",6,8,"1",-0.0930628538131714,16
3,65,FALSE,7,4,"Budapest",8,8,"1",-0.0631174206733704,16
3,24,TRUE,10,2,"Budapest",10,9,"1",-0.105041027069092,13
5,55,FALSE,10,0,"Budapest",10,8,"1",-0.0750955939292908,16
4,85,TRUE,4,5,"Budapest",3,4,"1",-0.0750955939292908,11
3,43,FALSE,3,10,"Budapest",8,8,"1",-0.0930628538131714,13
3,37,FALSE,2,9,"Budapest",8,8,"1",-0.0870737671852112,16
3,27,TRUE,7,8,"Budapest",8,6,"1",-0.081084680557251,11
3,45,FALSE,7,8,"Budapest",7,8,"1",-0.0870737671852112,11
3,38,TRUE,7,9,"Budapest",9,8,"1",-0.0870737671852112,13
2,60,FALSE,3,8,"Budapest",8,7,"1",-0.0930628538131714,13
3,65,FALSE,6,8,"Budapest",6,8,"1",-0.0870737671852112,11
3,34,FALSE,8,8,"Budapest",9,8,"1",-0.0930628538131714,11
3,46,FALSE,8,9,"Budapest",8,9,"1",-0.0870737671852112,11
3,55,FALSE,3,9,"Budapest",9,8,"1",-0.0870737671852112,13
3,60,FALSE,5,9,"Budapest",8,7,"1",-0.0870737671852112,13
3,24,FALSE,3,9,"Budapest",8,2,"1",-0.0571283340454102,13
3,37,FALSE,9,8,"Budapest",8,7,"1",-0.0930628538131714,13
3,32,TRUE,7,8,"Budapest",8,8,"1",-0.0930628538131714,13
3,37,TRUE,6,8,"Budapest",9,7,"1",-0.081084680557251,11
3,29,FALSE,10,9,"Budapest",7,8,"1",-0.081084680557251,16
3,15,FALSE,1,9,"Budapest",8,2,"1",-0.0571283340454102,10
3,42,FALSE,7,8,"Budapest",9,8,"1",-0.0870737671852112,13
3,75,FALSE,3,9,"Budapest",9,7,"1",-0.081084680557251,13
3,32,FALSE,4,8,"Budapest",8,8,"1",-0.0930628538131714,11
3,60,TRUE,6,8,"Budapest",9,8,"1",-0.0870737671852112,11
